medicine_id,code,name,facility,current_service_id,reference_price,existing_cash_price,classification,risk,proposed_service_code,proposed_service_name,proposed_cash_price,price_evidence,confidence,proposed_action
13,PPF,"procaine benzyl penicillin 4iu inj.",1,,3000.00,,safe_missing_service,conditional_explicit_price_approval,MED-PPF,"procaine benzyl penicillin 4iu inj.",3000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
14,"VIT B ","vitamin b complex inj",1,,3000.00,,safe_missing_service,conditional_explicit_price_approval,MED-VIT-B,"vitamin b complex inj",3000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
15,AMINO,"aminophylline inj 250mg/10ml",1,,4000.00,,safe_missing_service,conditional_explicit_price_approval,MED-AMINO,"aminophylline inj 250mg/10ml",4000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
16,TRAMA,"tramadol inj 50mg/ml",1,,4000.00,,safe_missing_service,conditional_explicit_price_approval,MED-TRAMA,"tramadol inj 50mg/ml",4000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
17,PENADOL,"benzathine benzyl penicillin 2.4iu inj",1,,4000.00,,safe_missing_service,conditional_explicit_price_approval,MED-PENADOL,"benzathine benzyl penicillin 2.4iu inj",4000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
18,AMPI,"ampiclox inj 500mg",1,,4000.00,,safe_missing_service,conditional_explicit_price_approval,MED-AMPI,"ampiclox inj 500mg",4000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
19,DIAZ,"diazepam inj 10mg",1,,4000.00,,safe_missing_service,conditional_explicit_price_approval,MED-DIAZ,"diazepam inj 10mg",4000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
20,SKY,"skderm cream",1,,4000.00,,safe_missing_service,conditional_explicit_price_approval,MED-SKY,"skderm cream",4000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
21,"CLO V CREAM","clotrimazole vaginal cream",1,,4000.00,,safe_missing_service,conditional_explicit_price_approval,MED-CLO-V-CREAM,"clotrimazole vaginal cream",4000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
22,"CLO V PESSARIES","clotrimazole vaginal pessaries",1,,4000.00,,safe_missing_service,conditional_explicit_price_approval,MED-CLO-V-PESSARIES,"clotrimazole vaginal pessaries",4000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
23,"CLO  ","clotrimazole cream",1,,4000.00,,safe_missing_service,conditional_explicit_price_approval,MED-CLO,"clotrimazole cream",4000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
24,"DICLO GEL","diclofenac gel",1,,3000.00,,safe_missing_service,conditional_explicit_price_approval,MED-DICLO-GEL,"diclofenac gel",3000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
25,SONA,"sonaderm cream",1,,4500.00,,safe_missing_service,conditional_explicit_price_approval,MED-SONA,"sonaderm cream",4500.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
26,"METRO GEL","metronidazole gel",1,,5000.00,,safe_missing_service,conditional_explicit_price_approval,MED-METRO-GEL,"metronidazole gel",5000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
27,MUPI,"mupirocin gel",1,,7000.00,,safe_missing_service,conditional_explicit_price_approval,MED-MUPI,"mupirocin gel",7000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
28,BURN,"burnox gel",1,,5000.00,,safe_missing_service,conditional_explicit_price_approval,MED-BURN,"burnox gel",5000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
29,VO,"voline gel",1,,6000.00,,safe_missing_service,conditional_explicit_price_approval,MED-VO,"voline gel",6000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
30,VIVI,"vivian plus gel",1,,5000.00,,safe_missing_service,conditional_explicit_price_approval,MED-VIVI,"vivian plus gel",5000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
31,HYDRO,"hydrocortisone cream",1,,4000.00,,safe_missing_service,conditional_explicit_price_approval,MED-HYDRO,"hydrocortisone cream",4000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
32,SOLUTION,"bbe solution",1,,4000.00,,ambiguous_configuration,manual_review,MED-SOLUTION,"bbe solution",,"Duplicate medicine name would violate facility/service name uniqueness",manual_review,"Resolve duplicate catalog identity and price manually"
33,CL,"calamine lotion",1,,3000.00,,safe_missing_service,conditional_explicit_price_approval,MED-CL,"calamine lotion",3000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
34,"MOUTH WASH","hydrogen peroxide 3%",1,,3000.00,,safe_missing_service,conditional_explicit_price_approval,MED-MOUTH-WASH,"hydrogen peroxide 3%",3000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
35,"EYE DROPS","ciprofloxacin eye drops",1,,3000.00,,safe_missing_service,conditional_explicit_price_approval,MED-EYE-DROPS,"ciprofloxacin eye drops",3000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
36,TETRA,"tetracycline ointment",1,,2000.00,,safe_missing_service,conditional_explicit_price_approval,MED-TETRA,"tetracycline ointment",2000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
37,"GENTA  EAR DROPS","gentamicin ear drops",1,,3000.00,,safe_missing_service,conditional_explicit_price_approval,MED-GENTA-EAR-DROPS,"gentamicin ear drops",3000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
38,DUPHA,"duphastone 10mg tablet",1,,3000.00,,safe_missing_service,conditional_explicit_price_approval,MED-DUPHA,"duphastone 10mg tablet",3000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
39,"GENTA EYE DROPS","gentamicin eye drops",1,,3000.00,,safe_missing_service,conditional_explicit_price_approval,MED-GENTA-EYE-DROPS,"gentamicin eye drops",3000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
40,"TXA TAB","tranexamic acid 500mg tablet",1,,2000.00,,safe_missing_service,conditional_explicit_price_approval,MED-TXA-TAB,"tranexamic acid 500mg tablet",2000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
41,"TXA INJ","tranexamic acid 500mg inj",1,,5000.00,,safe_missing_service,conditional_explicit_price_approval,MED-TXA-INJ,"tranexamic acid 500mg inj",5000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
42,FEFO,"ferrous sulphate + folic acid tablet",1,,300.00,,safe_missing_service,conditional_explicit_price_approval,MED-FEFO,"ferrous sulphate + folic acid tablet",300.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
43,CIPRO,"ciprofloxacin 500mg tab",1,,300.00,,safe_missing_service,conditional_explicit_price_approval,MED-CIPRO,"ciprofloxacin 500mg tab",300.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
44,CLAVAM,"amoxiclav 625mg tab",1,,1000.00,,safe_missing_service,conditional_explicit_price_approval,MED-CLAVAM,"amoxiclav 625mg tab",1000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
45,CEPHA,"cephalexin 250/500mg tabs",1,,600.00,,safe_missing_service,conditional_explicit_price_approval,MED-CEPHA,"cephalexin 250/500mg tabs",600.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
46,AZITH,"azithromycin 500mg",1,,6000.00,,safe_missing_service,conditional_explicit_price_approval,MED-AZITH,"azithromycin 500mg",6000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
47,"CTX TAB","co-trimoxazole 480mg tab",1,,200.00,,safe_missing_service,conditional_explicit_price_approval,MED-CTX-TAB,"co-trimoxazole 480mg tab",200.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
48,NITRO,"nitrofurantoin 100mg tab",1,,300.00,,safe_missing_service,conditional_explicit_price_approval,MED-NITRO,"nitrofurantoin 100mg tab",300.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
49,NOR,"nor-t / norzole 400mg tab",1,,500.00,,safe_missing_service,conditional_explicit_price_approval,MED-NOR,"nor-t / norzole 400mg tab",500.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
50,FLAGGYL,"metronidazole 200mg tab",1,,150.00,,safe_missing_service,conditional_explicit_price_approval,MED-FLAGGYL,"metronidazole 200mg tab",150.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
51,"AMPI CAP","ampiclox 500mg caps",1,,300.00,,safe_missing_service,conditional_explicit_price_approval,MED-AMPI-CAP,"ampiclox 500mg caps",300.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
52,"ERY TAB","erythromycin 250mg tab",1,,150.00,,safe_missing_service,conditional_explicit_price_approval,MED-ERY-TAB,"erythromycin 250mg tab",150.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
54,DOXY,"doxycline 100mg capsule",1,,300.00,,safe_missing_service,conditional_explicit_price_approval,MED-DOXY,"doxycline 100mg capsule",300.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
55,PHENOXYMETHY,"pen v 250mg tab",1,,150.00,,safe_missing_service,conditional_explicit_price_approval,MED-PHENOXYMETHY,"pen v 250mg tab",150.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
56,"AMOXY CAPS","amoxicillin 250mg caps",1,,100.00,,safe_missing_service,conditional_explicit_price_approval,MED-AMOXY-CAPS,"amoxicillin 250mg caps",100.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
57,MET,"metformin 500mg tab",1,,400.00,,safe_missing_service,conditional_explicit_price_approval,MED-MET,"metformin 500mg tab",400.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
58,GLIB,"glibenclamide 5mg tabs",1,,400.00,,safe_missing_service,conditional_explicit_price_approval,MED-GLIB,"glibenclamide 5mg tabs",400.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
59,ILLET,"illet B1 tabs",1,,600.00,,safe_missing_service,conditional_explicit_price_approval,MED-ILLET,"illet B1 tabs",600.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
61,"ILLET B2","illet B2 tablet",1,,600.00,,safe_missing_service,conditional_explicit_price_approval,MED-ILLET-B2,"illet B2 tablet",600.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
62,"METO TABS","metopramide tabs 10mg",1,,300.00,,safe_missing_service,conditional_explicit_price_approval,MED-METO-TABS,"metopramide tabs 10mg",300.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
63,"METO INJ","metoclopramide inj 10mg",1,,3000.00,,ambiguous_configuration,manual_review,MED-METO-INJ,"metoclopramide inj 10mg",,"Duplicate medicine name would violate facility/service name uniqueness",manual_review,"Resolve duplicate catalog identity and price manually"
64,"PROME TAB","promethazine 25mg tabs",1,,200.00,,safe_missing_service,conditional_explicit_price_approval,MED-PROME-TAB,"promethazine 25mg tabs",200.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
65,"PROME INJ","promethazine 25mg inj",1,,2000.00,,safe_missing_service,conditional_explicit_price_approval,MED-PROME-INJ,"promethazine 25mg inj",2000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
66,LOPE,"loperamide 2mg tabs",1,,500.00,,safe_missing_service,conditional_explicit_price_approval,MED-LOPE,"loperamide 2mg tabs",500.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
67,BENDRO,"bendroflumethiazide 5mg tabs",1,,400.00,,safe_missing_service,conditional_explicit_price_approval,MED-BENDRO,"bendroflumethiazide 5mg tabs",400.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
68,NIFE,"nifedipine 20mg tabs",1,,300.00,,safe_missing_service,conditional_explicit_price_approval,MED-NIFE,"nifedipine 20mg tabs",300.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
69,FRUS,"frusemide 40mg tabs",1,,400.00,,safe_missing_service,conditional_explicit_price_approval,MED-FRUS,"frusemide 40mg tabs",400.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
70,ATE,"atenolol 50mg tabs",1,,400.00,,safe_missing_service,conditional_explicit_price_approval,MED-ATE,"atenolol 50mg tabs",400.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
71,1X4,"artemether lumefantrine 4 tabs",1,,125.00,,safe_missing_service,conditional_explicit_price_approval,MED-1X4,"artemether lumefantrine 4 tabs",125.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
72,"3 TABS","artemether lumefantrine 3tabs",1,,112.00,,safe_missing_service,conditional_explicit_price_approval,MED-3-TABS,"artemether lumefantrine 3tabs",112.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
73,"2 TABS","artemether lumefantrine 12 tabs",1,,125.00,,safe_missing_service,conditional_explicit_price_approval,MED-2-TABS,"artemether lumefantrine 12 tabs",125.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
74,"6 TABS","artemether lumefantrine 1tabs",1,,167.00,,safe_missing_service,conditional_explicit_price_approval,MED-6-TABS,"artemether lumefantrine 1tabs",167.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
75,ARTESU,"artesunate inj 60mg",1,,7000.00,,safe_missing_service,conditional_explicit_price_approval,MED-ARTESU,"artesunate inj 60mg",7000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
76,"ARTE INJ","artemether inj 80mg",1,,3000.00,,safe_missing_service,conditional_explicit_price_approval,MED-ARTE-INJ,"artemether inj 80mg",3000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
77,"DICLOF TAB","Diclofenac tab 50mg",1,,100.00,,safe_missing_service,conditional_explicit_price_approval,MED-DICLOF-TAB,"Diclofenac tab 50mg",100.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
78,"IBU TAB","ibuprofen 200mg tabs",1,,200.00,,safe_missing_service,conditional_explicit_price_approval,MED-IBU-TAB,"ibuprofen 200mg tabs",200.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
79,GOFEN,"Gofen 400mg tab",1,,600.00,,safe_missing_service,conditional_explicit_price_approval,MED-GOFEN,"Gofen 400mg tab",600.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
81,"TRAMAD TAB","tramadol 25mg tab",1,,300.00,,safe_missing_service,conditional_explicit_price_approval,MED-TRAMAD-TAB,"tramadol 25mg tab",300.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
82,"MELOX TABS","meloxicam 15mg tabs",1,,300.00,,safe_missing_service,conditional_explicit_price_approval,MED-MELOX-TABS,"meloxicam 15mg tabs",300.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
83,"PIROX TAB","piroxicam 20mg tabs",1,,400.00,,safe_missing_service,conditional_explicit_price_approval,MED-PIROX-TAB,"piroxicam 20mg tabs",400.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
84,"CETI TAB","cetirizine 10mg tabs",1,,200.00,,safe_missing_service,conditional_explicit_price_approval,MED-CETI-TAB,"cetirizine 10mg tabs",200.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
85,"PREDI TABS","prednisolone 5mg tabs",1,,200.00,,safe_missing_service,conditional_explicit_price_approval,MED-PREDI-TABS,"prednisolone 5mg tabs",200.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
86,PIRITON,"chlorpheniramine maleate 4mg tabs",1,,150.00,,safe_missing_service,conditional_explicit_price_approval,MED-PIRITON,"chlorpheniramine maleate 4mg tabs",150.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
87,"SALBU TABS","salbutamol 4mg tabs",1,,200.00,,safe_missing_service,conditional_explicit_price_approval,MED-SALBU-TABS,"salbutamol 4mg tabs",200.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
88,"ZINC ","zinc sulphate 20mg tabs",1,,200.00,,safe_missing_service,conditional_explicit_price_approval,MED-ZINC,"zinc sulphate 20mg tabs",200.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
89,OME,"omeprazole 20mg tablet",1,,150.00,,safe_missing_service,conditional_explicit_price_approval,MED-OME,"omeprazole 20mg tablet",150.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
90,"MAG T","magnesium trisilicate tabs",1,,100.00,,safe_missing_service,conditional_explicit_price_approval,MED-MAG-T,"magnesium trisilicate tabs",100.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
91,"RELCER SMALL","relcer gel solution- small",1,,4000.00,,safe_missing_service,conditional_explicit_price_approval,MED-RELCER-SMALL,"relcer gel solution- small",4000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
92,"RELCER LARGE","relcer gel solution- large",1,,7000.00,,safe_missing_service,conditional_explicit_price_approval,MED-RELCER-LARGE,"relcer gel solution- large",7000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
93,"VITA B","vitamin b complex tabs",1,,200.00,,safe_missing_service,conditional_explicit_price_approval,MED-VITA-B,"vitamin b complex tabs",200.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
94,"MULT VITA ","multi vitamin tabs",1,,200.00,,safe_missing_service,conditional_explicit_price_approval,MED-MULT-VITA,"multi vitamin tabs",200.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
95,"ALBE TAB","albendazole 200mg tabs",1,,1500.00,,safe_missing_service,conditional_explicit_price_approval,MED-ALBE-TAB,"albendazole 200mg tabs",1500.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
